keyword,action,reason,priority,current_cpc,market_cpc,volume,your_ctr,your_conv_rate,conversions
vehicle transport,increase_bid,High converter (30.84% CR) but bidding below market ($3.42 vs $7.27),high,3.42,7.27,6600,8.08,30.84,302.49974399999996
car shipping,increase_bid,High converter (27.07% CR) but bidding below market ($3.17 vs $7.58),high,3.17,7.58,22200,8.98,27.07,166.499051
car shipping canada,increase_bid,High converter (24.19% CR) but bidding below market ($2.50 vs $3.52),high,2.5,3.52,590,4.64,24.19,15.0
snowbird auto transport,increase_bid,High converter (15.22% CR) but bidding below market ($2.03 vs $3.25),high,2.03,3.25,140,15.38,15.22,7.0
international shipping,increase_bid,Good converter (8.33% CR) but low impression share (788/12100 monthly searches),medium,2.42,2.14,12100,4.57,8.33,3.0
car transport service,increase_bid,High converter (26.09% CR) but bidding below market ($2.77 vs $7.05),high,2.77,7.05,12100,7.47,26.09,6.0
transport services,increase_bid,Good converter (10.0% CR) but low impression share (638/2900 monthly searches),medium,2.7,2.97,2900,3.13,10.0,2.0
snowbird auto shipping,increase_bid,High converter (36.36% CR) but bidding below market ($1.64 vs $4.58),high,1.64,4.58,30,12.09,36.36,8.0
automobile transport,increase_bid,High converter (8.33% CR) but bidding below market ($2.16 vs $7.92),high,2.16,7.92,1300,6.9,8.33,1.0
car transport to florida,increase_bid,High converter (11.11% CR) but bidding below market ($1.66 vs $5.66),high,1.66,5.66,480,7.14,11.11,1.0
car shipping to florida,increase_bid,High converter (25.0% CR) but bidding below market ($2.71 vs $6.46),high,2.71,6.46,110,50.0,25.0,1.0
auto transport,increase_bid,High converter (100.0% CR) but bidding below market ($1.08 vs $7.67),high,1.08,7.67,14800,5.17,100.0,3.0
