campaign_name,ad_group_name,keyword,match_type,impressions,clicks,cost,conversions
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,first community credit union,EXACT,730,215,396.082146,6.5
IMM_FirstCCU Checking - Lead Gen,CREDIT UNION ADVANTAGES ​,credit union near me,BROAD,1498,148,588.982757,10.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,first community credit union beloit,EXACT,246,82,113.977396,0.0
IMM_FirstCCU Checking - Lead Gen,CREDIT UNION ADVANTAGES ​,local credit union,BROAD,1002,82,316.540096,5.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,first community credit union,BROAD,448,57,188.820307,0.5
IMM_FirstCCU Checking - Lead Gen,CREDIT UNION ADVANTAGES ​,credit union rockford,BROAD,446,48,228.72324,1.0
IMM_FirstCCU Checking - Lead Gen,GENERIC CHECKING TERMS ​,open checking account online,BROAD,734,40,152.59,2.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,fccu beloit,EXACT,73,34,32.565601,0.0
IMM_FirstCCU Checking - Lead Gen,GENERIC CHECKING TERMS ​,open bank account online credit union,BROAD,487,34,129.902694,1.0
IMM_FirstCCU Checking - Lead Gen,GENERIC CHECKING TERMS ​,checking account near me,BROAD,621,29,115.970871,2.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,fccu,EXACT,116,23,34.126509,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,free online banking,BROAD,347,19,70.81418,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,best banking accounts,BROAD,299,18,82.336922,1.0
IMM_FirstCCU Checking - Lead Gen,CREDIT UNION ADVANTAGES ​,better than banks,BROAD,399,18,82.0,1.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,first community credit union janesville,EXACT,40,14,40.128956,0.0
IMM_FirstCCU Checking - Lead Gen,CREDIT UNION ADVANTAGES ​,credit union better,BROAD,146,13,75.745973,2.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,free bank,BROAD,119,13,77.04,5.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,open a bank account,BROAD,153,10,28.187233,0.0
IMM_FirstCCU Checking - Lead Gen,CREDIT UNION ADVANTAGES ​,credit union beloit,BROAD,105,9,36.22,4.0
IMM_FirstCCU Checking - Lead Gen,CREDIT UNION ADVANTAGES ​,credit union janesville,BROAD,140,9,38.67,1.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,beloit credit union,EXACT,29,9,16.71,0.0
IMM_FirstCCU Checking - Lead Gen,CREDIT UNION ADVANTAGES ​,why credit union better,BROAD,111,9,58.800000000000004,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,best checking and savings accounts,BROAD,115,9,33.587502,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,first ccu,BROAD,117,8,10.02,1.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,rockford credit union,EXACT,96,8,35.63,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,credit union rockford il,EXACT,72,7,41.08,2.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,credit union janesville wi,EXACT,34,6,34.569340999999994,3.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,credit union beloit wi,EXACT,40,6,27.13,0.0
IMM_FirstCCU Checking - Lead Gen,PAIN-POINT SOLUTIONS ​,early direct deposit 2 days,BROAD,412,6,34.24,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,best free online banking,BROAD,141,6,24.89,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,fccu online banking,BROAD,117,5,11.862088,0.0
IMM_FirstCCU Checking - Lead Gen,PAIN-POINT SOLUTIONS ​,get paid early,BROAD,58,5,23.649713000000002,1.0
IMM_FirstCCU Checking - Lead Gen,PAIN-POINT SOLUTIONS ​,switch from bank,BROAD,72,5,24.05,0.0
IMM_FirstCCU Checking - Lead Gen,PAIN-POINT SOLUTIONS ​,early direct deposit,BROAD,595,4,12.959999999999999,3.0
IMM_FirstCCU Checking - Lead Gen,GENERIC CHECKING TERMS ​,checking account beloit,BROAD,65,4,28.22,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,first community credit union rockford,EXACT,7,4,3.9,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,first ccu,EXACT,19,4,0.09000000000000001,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,best bank for checking,BROAD,51,4,18.44,0.0
IMM_FirstCCU Checking - Lead Gen,GENERIC CHECKING TERMS ​,free checking account,BROAD,98,3,9.88,0.0
IMM_FirstCCU Checking - Lead Gen,GENERIC CHECKING TERMS ​,credit union checking account,BROAD,41,3,18.927969,2.0
IMM_FirstCCU Checking - Lead Gen,GENERIC CHECKING TERMS ​,checking account rockford,BROAD,88,3,16.560000000000002,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,fccu janesville,EXACT,7,2,6.89,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,fccu online banking,EXACT,3,2,2.92,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,fccu rockford,EXACT,6,2,9.68,0.0
IMM_FirstCCU Checking - Lead Gen,PAIN-POINT SOLUTIONS ​,tired of bank fees,BROAD,43,2,14.29,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,first community credit union beloit,BROAD,42,2,9.26,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,first ccu,PHRASE,2,1,7.86,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,first community credit union,PHRASE,2,1,0.5,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,fccu near me,BROAD,15,1,5.59,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,good bank accounts,BROAD,52,1,2.42,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,first community credit union near me,EXACT,3,1,2.18,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,credit union with no opening deposit,BROAD,13,1,4.21,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,fccu beloit,BROAD,7,0,0.0,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,best bank to open account,BROAD,11,0,0.0,0.0
IMM_FirstCCU Checking - Lead Gen,PAIN-POINT SOLUTIONS ​,high bank fees,BROAD,28,0,0.0,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,best bank to use,BROAD,2,0,0.0,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,checking and savings account,BROAD,9,0,0.0,0.0
IMM_FirstCCU Checking - Lead Gen,GENERIC CHECKING TERMS ​,free credit union,BROAD,2,0,0.0,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,fccu beloit wi,BROAD,4,0,0.0,0.0
IMM_FirstCCU Checking - Lead Gen,GENERIC CHECKING TERMS ​,online bank account credit union,BROAD,11,0,0.0,0.0
IMM_FirstCCU Checking - Lead Gen,CREDIT UNION ADVANTAGES ​,why choose credit union,BROAD,13,0,0.0,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,first community credit union janesville,BROAD,1,0,0.0,0.0
IMM_FirstCCU Checking - Lead Gen,GENERIC CHECKING TERMS ​,best checking account,BROAD,10,0,0.0,0.0
IMM_FirstCCU Checking - Lead Gen,BRANDED TERMS,online bank account free no deposit,BROAD,1,0,0.0,0.0
