campaign_id,campaign_name,impressions,clicks,cost,conversions
23228929821,KCU - Personal - Brand,34536,11967,2284.936476,1255.39568
23229263037,KCU - YT - AWA,825696,1512,3948.87866,12.0
23238626386,KCU - Personal - NB,9941,763,7630.694375,83.237884
23238626389,KCU - Personal - NB Locations,5517,579,5374.561184,41.658495
23278396982,KCU - Business - NB,3182,100,2517.032231,19.0
23282664394,KCU - Business - Brand,325,91,590.504721,11.0
23355881198,X KCU - DG - 10 Mo Cert,7162,28,261.716339,2.0
23371442105,KCU - Personal - NB Extended,8783,943,3999.9877579999998,119.666861
23379709610,KCU - Personal - Brand Brand Geo Test,7146,2521,508.021215,260.973621
23390869145,X KCU - DG - Kraken,9840,27,115.70312,0.0
23434304363,KCU - pMax - 10 Mo Cert,40920,4252,6446.151565,233.003973
23438594629,KCU - YT - AWA Extended,327640,309,998.212286,3.0
23519040207,KCU - pMax - Peak,15946,1260,2497.544415,359.50612
23519667804,KCU - DG - Business Checking,461459,1854,7593.980142,52.574882
23523988022,KCU - DG - Peak,166898,791,2499.760072,91.871389
23529409807,KCU - pMax - 7 Month Cert,60765,7734,9892.207647,636.333632
